arenaName,teamId,teamCity,teamName,games,mean_delta
Little Caesars Arena,1610612748,Miami,Heat,1,421.6
Little Caesars Arena,1610612750,Minnesota,Timberwolves,1,421.6
Little Caesars Arena,1610612755,Philadelphia,76ers,2,421.6
Little Caesars Arena,1610612759,San Antonio,Spurs,1,421.6
Little Caesars Arena,1610612760,Oklahoma City,Thunder,1,421.6
Little Caesars Arena,1610612763,Memphis,Grizzlies,1,421.6
Little Caesars Arena,1610612766,Charlotte,Hornets,1,421.6
Little Caesars Arena,1610612752,New York,Knicks,2,406.2
Little Caesars Arena,1610612738,Boston,Celtics,2,387.8
Little Caesars Arena,1610612761,Toronto,Raptors,1,339.6
Little Caesars Arena,1610612751,Brooklyn,Nets,2,338.0
Little Caesars Arena,1610612743,Denver,Nuggets,1,333.4
Little Caesars Arena,1610612749,Milwaukee,Bucks,2,321.1
Little Caesars Arena,1610612757,Portland,Trail Blazers,1,262.6
Little Caesars Arena,1610612753,Orlando,Magic,6,0.7
Little Caesars Arena,1610612739,Cleveland,Cavaliers,6,-23.4
Little Caesars Arena,1610612754,Indiana,Pacers,2,-93.3
Little Caesars Arena,1610612741,Chicago,Bulls,2,-398.9
Little Caesars Arena,1610612756,Phoenix,Suns,1,-463.5
Little Caesars Arena,1610612737,Atlanta,Hawks,3,-695.6
Little Caesars Arena,1610612740,New Orleans,Pelicans,1,-729.2
Little Caesars Arena,1610612764,Washington,Wizards,2,-977.9
